QuestionText,Category,Answer
"['أيهما', 'أفضل', 'الدراسة', 'السابق', 'الوقت']",التعليم,"['الدراسة', 'الوقت', 'الحالي', 'تعتبر', 'أفضل', 'بسبب', 'توفر', 'التكنولوجيا', 'والموارد', 'التعليمية', 'الحديثة']"
"['أليس', 'القطن', 'عماد', 'الثروة']",الاقتصاد والعمل,"['القطن', 'يعتبر', 'أهم', 'المنتجات', 'الزراعية', 'ويعد', 'الأعمدة', 'الرئيسية', 'للاقتصاد', 'المصري']"
"['أتصعد', 'الشمس']",التعليم,"['الشمس', 'تصعد', 'الشرق']"
"['أتعرف', 'البكتيريا', 'بأنها', 'كائنات', 'حية']",التعليم,"['البكتيريا', 'تعرف', 'بأنها', 'كائنات', 'حية', 'دقيقة']"
"['أيتكون', 'الهواء', 'أساسا']",التعليم,"['الهواء', 'يتكون', 'أساسا', 'النيتروجين']"
"['أيفرز', 'البنكرياس']",الصحة,"['يفرز', 'البنكرياس', 'الأنسولين']"
"['أيتكون', 'الماء', 'الهيدروجين']",التعليم,"['الماء', 'يتكون', 'الهيدروجين', 'والأوكسجين']"
"['أيوجد', 'فيتامين', 'سي']",الصحة,"['فيتامين', 'سي', 'يوجد', 'البرتقال']"
"['أيتنفس', 'السمك', 'باستخدام']",التعليم,"['يتنفس', 'السمك', 'باستخدام', 'الخياشيم']"
"['أيمكن', 'للنباتات', 'تقوم', 'بعملية', 'البناء']",التعليم,"['يمكن', 'للنباتات', 'تقوم', 'بعملية', 'البناء', 'الضوئي']"
"['أيتكون', 'الذهب', 'عنصر']",التعليم,"['يتكون', 'الذهب', 'عنصر', 'واحد']"
"['أيتكون', 'الخشب', 'ألياف']",التعليم,"['يتكون', 'الخشب', 'ألياف', 'نباتية']"
"['أيتغذى', 'الأسد']",التعليم,"['يتغذى', 'الأسد', 'اللحوم']"
"['أيتكون', 'الدم', 'خلايا', 'حمراء']",الصحة,"['يتكون', 'الدم', 'خلايا', 'حمراء', 'وبيضاء']"
"['أيتغذى', 'النحل', 'رحيق']",التعليم,"['يتغذى', 'النحل', 'رحيق', 'الأزهار']"
"['أيتكون', 'اللبن', 'بروتينات']",التعليم,"['يتكون', 'اللبن', 'بروتينات', 'ودهون']"
"['أيمكن', 'للحشرات']",التعليم,"['يمكن', 'للحشرات', 'تطير']"
"['أيتغذى', 'الدب', 'القطبي']",التعليم,"['يتغذى', 'الدب', 'القطبي', 'اللحوم']"
"['أيتكون', 'الزيت', 'دهون']",التعليم,"['يتكون', 'الزيت', 'دهون', 'نباتية']"
"['أيتكون', 'السكر', 'جزيئات', 'كربون']",التعليم,"['يتكون', 'السكر', 'جزيئات', 'كربون', 'وأوكسجين']"
"['أيتكون', 'الحجر', 'الجيري', 'كربونات']",التعليم,"['يتكون', 'الحجر', 'الجيري', 'كربونات', 'الكالسيوم']"
"['أيتغذى', 'الفيل']",التعليم,"['يتغذى', 'الفيل', 'النباتات']"
"['أيتكون', 'الهواء', 'خليط']",التعليم,"['يتكون', 'الهواء', 'خليط', 'الغازات']"
"['أيمكن', 'للنمل', 'يرفع', 'أوزانا', 'تفوق']",التعليم,"['يمكن', 'للنمل', 'يرفع', 'أوزانا', 'تفوق', 'وزنه']"
"['أيتكون', 'الزجاج', 'رمل']",التعليم,"['يتكون', 'الزجاج', 'رمل', 'السيليكا']"
"['أيتطلب', 'الحاسوب', 'وجود', 'تيار']",التكنولوجيا,"['يتطلب', 'الحاسوب', 'وجود', 'تيار', 'كهربائي']"
"['أيمكن', 'للطيور', 'تعيش']",التعليم,"['معظم', 'الطيور', 'يمكنها', 'تعيش', 'الماء']"
"['أيتغذى', 'الحوت', 'الكائنات', 'البحرية']",التعليم,"['يتغذى', 'الحوت', 'الكائنات', 'البحرية', 'الصغيرة']"
"['أيمكن', 'للإنسان', 'يعيش', 'بدون']",الصحة,"['يمكن', 'للإنسان', 'يعيش', 'بدون', 'قلب']"
"['أيتغير', 'لون', 'أوراق', 'الأشجار']",التعليم,"['يتغير', 'لون', 'أوراق', 'الأشجار', 'الخريف']"
"['أيمكن', 'للضوء', 'ينكسر', 'مروره', 'خلال']",التعليم,"['يمكن', 'للضوء', 'ينكسر', 'مروره', 'خلال', 'الماء']"
"['أيتكون', 'الجليد', 'درجات', 'حرارة']",التعليم,"['يتكون', 'الجليد', 'درجات', 'حرارة', 'منخفضة']"
"['أيتحكم', 'الدماغ', 'وظائف']",التعليم,"['يتحكم', 'الدماغ', 'وظائف', 'الجسم']"
"['أيمكن', 'للإنسان', 'يسمع', 'الأصوات']",الصحة,"['يمكن', 'للإنسان', 'يسمع', 'الأصوات', 'الاتجاهات']"
"['أيوجد', 'الماء', 'حالات', 'صلبة', 'وسائلة']",التعليم,"['يوجد', 'الماء', 'حالات', 'صلبة', 'وسائلة', 'وغازية']"
"['أيمكن', 'للإنسان', 'يشعر', 'بالحرارة']",الصحة,"['يمكن', 'للإنسان', 'يشعر', 'بالحرارة', 'والبرودة']"
"['أيتكون', 'الرمل', 'جزيئات', 'صغيرة']",التعليم,"['يتكون', 'الرمل', 'جزيئات', 'صغيرة', 'الصخور']"
"['أيتطلب', 'النمو', 'السليم', 'للنباتات', 'وجود', 'ضوء']",التعليم,"['يتطلب', 'النمو', 'السليم', 'للنباتات', 'وجود', 'ضوء', 'الشمس']"
"['أيمكن', 'للإنسان', 'يرى']",التعليم,"['يمكن', 'للإنسان', 'يرى', 'الظلام']"
"['أيمكن', 'للإنسان', 'يعيش', 'سطح']",التعليم,"['يمكن', 'للإنسان', 'يعيش', 'سطح', 'القمر', 'بدون', 'معدات', 'خاصة']"
"['أيتكون', 'الفحم', 'بقايا']",التعليم,"['يتكون', 'الفحم', 'بقايا', 'نباتية']"
"['أيتغير', 'لون', 'السماء', 'الوقت']",التعليم,"['يتغير', 'لون', 'السماء', 'الوقت', 'اليوم']"
"['أيتحرك', 'الهواء', 'مناطق', 'الضغط', 'العالي']",التعليم,"['يتحرك', 'الهواء', 'مناطق', 'الضغط', 'العالي', 'المنخفض']"
"['أيتطلب', 'التنفس', 'وجود']",الصحة,"['يتطلب', 'التنفس', 'وجود', 'الأوكسجين']"
"['أيمكن', 'للنباتات', 'تنمو', 'بدون']",التعليم,"['يمكن', 'للنباتات', 'تنمو', 'بدون', 'ماء']"
"['أيتغير', 'لون', 'البشرة', 'بالتعرض']",الصحة,"['يتغير', 'لون', 'البشرة', 'بالتعرض', 'للشمس']"
"['أيتطلب', 'التبخر', 'وجود']",التعليم,"['يتطلب', 'التبخر', 'وجود', 'حرارة']"
"['أيمكن', 'للإنسان', 'يعيش', 'بدون']",الصحة,"['يمكن', 'للإنسان', 'يعيش', 'بدون', 'نوم', 'لفترة', 'طويلة']"
"['أيتغير', 'لون', 'السمك', 'تغير']",التعليم,"['يتغير', 'لون', 'السمك', 'تغير', 'البيئة']"
"['أيتطلب', 'النمو', 'السليم', 'للإنسان', 'وجود', 'غذاء']",الصحة,"['يتطلب', 'النمو', 'السليم', 'للإنسان', 'وجود', 'غذاء', 'متوازن']"
"['أيتغير', 'لون', 'الثلج']",البيئة والطاقة,"['يمكن', 'يتغير', 'لون', 'الثلج', 'التلوث']"
"['أيمكن', 'للإنسان', 'يرى', 'الأشياء', 'بواسطة']",الصحة,"['يمكن', 'للإنسان', 'يرى', 'الأشياء', 'بواسطة', 'العيون']"
"['سيدنا', 'محمد', 'صلى', 'الله', 'سلم']",الدين,"['سيدنا', 'محمد', 'صلى', 'الله', 'سلم', 'يعتبر', 'المسلمين']"
"['يؤثم', 'الحاكم', 'يحكم', 'أنزل', 'الله']",الدين,"['يؤثم', 'الحاكم', 'يحكم', 'أنزل', 'الله', 'وشرع']"
"['الماء', 'يتجمد', 'درجة', 'حرارة', 'صفر']",التعليم,"['الماء', 'يتجمد', 'درجة', 'حرارة', 'صفر', 'مئوية']"
"['الشمس', 'أقرب', 'نجم']",التعليم,"['الشمس', 'أقرب', 'نجم', 'الأرض']"
